produto,quantidade_produzida_kgs,valor_venda_medio,receita_total,custo_kg
alface,89.97,23.52,2116.57,20.32
morango,82.79,24.49,2027.38,5.2
pimentão,120.06,9.06,1088.07,2.96
melão,40.06,10.07,403.37,4.13
cenoura,24.9,10.73,267.25,8.11
melão,196.01,10.33,2024.75,5.96
milho,44.42,18.77,833.68,3.8
pimentão,65.37,14.56,951.83,4.5
alface,179.95,7.63,1373.4,2.26
batata,17.11,5.22,89.35,3.5
trigo,33.35,14.03,467.69,9.6
melancia,45.61,21.97,1002.32,18.04
milho,188.09,21.66,4073.18,3.59
feijão,167.69,23.62,3960.7,9.27
milho,149.67,19.63,2938.12,2.96
arroz,188.51,9.13,1721.9,5.21
feijão,29.1,8.16,237.62,6.19
alface,64.57,21.24,1371.6,12.39
trigo,53.94,6.36,343.18,4.95
milho,147.85,20.59,3044.55,19.52
pimentão,11.36,5.13,58.25,4.2
trigo,59.9,12.65,757.67,9.26
melão,148.98,22.25,3315.07,10.68
abobrinha,74.77,10.23,765.05,7.85
milho,142.97,17.24,2464.64,9.2
batata,70.93,5.86,415.46,5.21
arroz,36.66,9.12,334.53,4.84
abobrinha,44.4,7.75,343.85,7.14
morango,14.83,5.04,74.83,4.47
melancia,186.15,15.11,2812.92,3.75
melão,177.05,21.37,3782.78,10.01
trigo,24.71,7.82,193.18,2.88
cenoura,90.84,18.39,1670.42,2.47
soja,172.46,8.7,1500.68,2.81
soja,193.9,16.59,3216.36,7.82
melão,128.36,8.84,1134.9,3.29
pimentão,8.76,12.99,113.79,2.69
melancia,199.06,9.33,1856.51,3.71
abacaxi,55.53,11.26,624.96,8.71
abacaxi,154.28,9.8,1512.17,5.46
cenoura,198.81,18.36,3649.87,14.32
abacaxi,16.62,6.5,108.11,5.3
soja,80.23,12.96,1039.39,12.21
milho,41.21,15.81,651.66,4.78
abobrinha,188.7,14.62,2759.42,8.7
cenoura,145.22,19.27,2798.9,12.36
morango,146.81,6.14,901.33,5.49
arroz,85.8,16.62,1425.76,3.73
trigo,114.09,18.88,2154.58,4.31
cenoura,131.63,16.56,2179.9,12.32
feijão,1.38,16.44,22.76,9.44
morango,197.32,13.72,2706.26,6.87
feijão,22.86,17.76,406.15,3.13
melão,199.07,10.12,2015.56,5.27
morango,16.49,5.0,82.52,3.12
tomate,178.36,22.19,3958.41,8.33
feijão,123.05,9.98,1228.23,4.63
pimentão,94.77,15.84,1501.54,12.19
melancia,17.43,24.63,429.36,24.09
milho,89.84,21.24,1908.15,12.51
tomate,112.11,6.86,769.45,5.71
pimentão,135.81,22.73,3086.22,2.96
soja,154.94,22.18,3436.17,7.02
cenoura,60.14,16.2,974.1,3.91
cenoura,68.78,9.76,671.25,5.19
alface,71.81,14.54,1044.24,3.06
abacaxi,107.16,14.82,1587.64,6.23
soja,127.68,19.3,2464.44,10.14
melão,27.11,24.24,656.96,4.03
melão,67.99,11.66,792.99,3.66
batata,137.7,19.6,2699.38,9.48
soja,130.57,15.32,2000.76,14.44
soja,12.4,18.56,230.08,11.11
tomate,36.8,10.35,380.77,9.49
tomate,42.75,5.66,241.85,4.69
alface,150.31,14.05,2111.48,10.17
melancia,100.74,21.21,2136.77,9.33
trigo,180.74,7.48,1351.91,4.2
tomate,171.29,18.58,3182.04,14.19
feijão,24.12,13.71,330.62,10.06
melancia,120.97,12.92,1563.2,5.93
melão,18.7,10.15,189.86,4.27
melão,120.3,13.22,1589.9,7.47
soja,54.7,24.52,1341.26,13.77
tomate,75.34,5.56,418.81,2.38
melão,99.04,9.25,916.27,2.53
soja,43.18,10.3,444.54,7.46
melancia,127.41,19.07,2430.13,17.98
pimentão,168.85,5.43,917.45,2.53
feijão,190.37,9.85,1875.39,3.01
soja,122.33,8.36,1022.37,7.05
abobrinha,99.24,11.77,1167.83,9.36
feijão,29.49,16.02,472.52,10.61
morango,59.33,6.25,370.76,3.51
melancia,120.47,11.84,1425.83,5.88
melão,13.19,23.67,312.37,4.61
alface,56.65,24.99,1415.66,22.65
soja,5.28,20.01,105.66,2.81
melão,121.48,12.99,1578.28,7.31
abacaxi,100.95,16.18,1633.48,7.06
pimentão,112.47,10.96,1233.18,4.33
pimentão,96.34,24.66,2376.17,21.92
abacaxi,120.96,13.84,1674.05,4.21
pimentão,193.21,9.9,1913.02,7.01
melancia,128.68,17.17,2209.06,10.36
pimentão,199.71,14.36,2867.47,7.21
melão,102.67,14.07,1444.71,13.27
soja,156.83,7.14,1119.6,5.65
soja,64.27,7.63,490.46,4.48
melão,171.92,12.64,2173.31,11.77
milho,105.05,18.6,1953.7,11.09
abobrinha,77.76,6.93,538.49,2.07
pimentão,116.0,8.76,1016.11,6.33
alface,114.26,5.94,678.83,3.44
abacaxi,156.93,13.23,2075.77,8.2
trigo,160.25,14.77,2366.3,12.09
abobrinha,56.39,7.34,413.81,3.11
milho,77.23,20.41,1576.02,11.27
alface,195.72,23.81,4660.43,21.52
pimentão,180.0,20.65,3716.74,6.44
batata,25.67,18.95,486.37,9.67
abacaxi,171.23,19.45,3330.16,4.23
pimentão,194.68,7.17,1396.26,4.16
melancia,177.33,9.89,1754.56,2.22
alface,147.2,12.39,1823.12,2.75
milho,182.37,6.83,1244.91,6.04
batata,199.02,22.04,4385.67,13.89
pimentão,146.52,20.22,2962.47,5.58
melão,8.82,11.05,97.43,9.98
batata,143.96,17.81,2563.55,6.19
alface,19.98,24.85,496.54,2.15
batata,144.62,12.26,1772.92,10.55
abacaxi,164.96,20.85,3439.81,7.85
feijão,110.2,21.11,2325.9,7.84
soja,65.41,7.15,467.78,3.17
abacaxi,114.97,10.54,1211.69,6.8
abobrinha,87.11,8.33,725.54,4.13
melão,184.53,21.0,3874.14,16.1
feijão,75.11,13.24,994.13,9.6
arroz,26.48,22.6,598.38,14.88
soja,121.2,7.48,906.95,2.05
abobrinha,148.16,17.06,2527.83,6.09
milho,114.63,9.95,1140.84,3.27
arroz,142.17,12.8,1819.86,4.45
melancia,158.73,18.74,2975.02,3.11
tomate,152.26,6.81,1037.02,4.53
feijão,50.99,24.17,1232.52,22.89
melão,188.58,24.31,4584.38,3.76
abobrinha,41.63,18.38,765.23,17.35
tomate,182.29,17.83,3249.86,12.69
soja,150.56,24.59,3701.72,20.85
morango,67.46,9.39,633.5,3.11
abobrinha,90.29,19.58,1767.95,13.5
trigo,11.99,22.64,271.44,6.45
abacaxi,165.04,8.78,1448.28,4.2
cenoura,53.61,17.93,961.35,3.14
arroz,194.72,18.37,3576.74,3.88
melão,110.28,23.99,2645.97,4.08
melancia,143.59,18.89,2712.71,6.07
morango,52.96,5.32,281.68,2.04
batata,104.38,23.27,2429.08,9.84
morango,102.67,12.04,1236.29,9.77
soja,112.68,5.72,644.43,3.81
melancia,143.1,8.85,1266.57,5.75
abacaxi,130.34,6.3,821.79,2.86
feijão,11.8,20.7,244.31,9.09
arroz,7.17,9.6,68.84,2.32
abobrinha,91.1,8.01,729.66,6.18
trigo,115.18,6.83,786.83,3.57
abobrinha,175.74,14.24,2501.82,2.24
tomate,14.14,6.65,94.02,2.9
trigo,89.86,8.58,771.32,4.58
arroz,119.86,21.72,2603.62,9.21
melancia,192.96,6.41,1236.45,3.24
pimentão,109.98,11.01,1210.94,6.52
milho,78.66,20.71,1628.8,6.99
cenoura,32.75,24.4,798.98,3.7
feijão,45.68,24.56,1121.77,5.94
milho,97.2,12.59,1223.85,6.27
batata,67.8,23.8,1613.47,7.97
pimentão,80.28,9.93,797.1,4.75
batata,67.87,5.98,405.68,3.41
tomate,150.92,10.64,1605.85,9.88
melão,20.02,16.27,325.77,2.84
tomate,94.92,22.37,2123.46,5.41
trigo,189.2,10.24,1937.43,6.26
alface,195.88,24.4,4780.26,2.95
trigo,176.52,21.18,3738.11,9.77
melão,106.2,14.05,1492.13,6.66
feijão,29.81,24.92,742.93,3.93
abobrinha,31.52,12.08,380.65,5.79
melão,189.69,6.7,1271.59,3.25
abacaxi,116.5,7.77,904.93,6.34
melão,50.52,20.3,1025.56,3.67
alface,62.78,13.61,854.46,10.89
arroz,72.01,13.57,977.33,5.58
feijão,67.29,22.41,1507.89,12.97
arroz,143.71,15.32,2201.36,12.36
soja,138.82,13.88,1927.35,3.11
morango,114.04,19.62,2237.3,9.31
melancia,183.45,18.17,3332.92,12.24
morango,188.99,21.94,4146.1,19.89
tomate,7.25,12.24,88.78,11.53
feijão,41.25,14.1,581.72,5.6
soja,174.05,17.95,3124.77,7.88
soja,182.23,22.67,4130.7,5.54
feijão,13.84,14.61,202.32,11.83
trigo,43.47,22.26,967.64,21.7
cenoura,91.93,13.95,1282.69,11.95
milho,107.73,8.36,900.33,6.22
cenoura,41.37,13.75,568.81,6.87
milho,195.37,17.37,3393.2,5.97
morango,48.53,15.58,755.99,13.12
alface,33.07,10.64,351.87,7.59
trigo,13.81,6.46,89.15,3.84
morango,77.99,24.47,1908.38,15.72
melão,176.4,5.86,1033.34,4.14
pimentão,151.25,20.3,3070.74,16.62
feijão,175.0,7.44,1301.5,6.02
arroz,7.37,14.66,108.09,8.58
abacaxi,185.57,22.06,4093.96,16.09
alface,50.17,22.02,1104.66,18.92
soja,128.97,14.42,1859.49,11.46
alface,30.95,10.81,334.76,6.4
feijão,72.82,23.21,1689.97,15.28
pimentão,155.52,12.47,1940.06,10.9
tomate,139.67,21.16,2955.48,14.69
batata,166.61,10.14,1689.97,3.81
melancia,176.1,12.11,2133.2,9.77
milho,126.58,10.78,1365.05,8.0
abacaxi,117.91,10.96,1292.4,2.19
abacaxi,15.88,17.79,282.54,13.64
pimentão,110.31,24.35,2686.19,7.54
pimentão,34.58,9.87,341.33,8.22
feijão,134.81,12.87,1734.41,12.16
cenoura,11.07,22.61,250.38,18.09
cenoura,103.36,16.37,1692.11,15.83
soja,150.26,17.19,2583.17,2.69
melão,3.32,8.11,26.9,2.17
alface,135.06,5.12,691.46,2.45
milho,61.6,24.04,1480.89,16.41
tomate,128.01,8.96,1147.06,6.44
pimentão,158.61,6.04,957.97,3.78
trigo,50.22,20.84,1046.62,12.44
pimentão,121.51,5.38,653.38,3.9
alface,174.93,12.79,2237.62,6.25
abobrinha,97.82,9.29,908.97,3.82
arroz,69.56,8.87,617.27,7.86
abacaxi,131.69,19.65,2587.4,14.26
abobrinha,198.63,14.68,2916.47,11.31
abacaxi,152.91,14.92,2281.58,4.37
milho,157.06,5.99,941.23,2.02
melancia,64.56,23.99,1548.57,10.9
soja,187.43,10.86,2035.53,8.52
cenoura,142.82,17.15,2449.0,12.36
pimentão,112.41,16.93,1902.81,16.04
morango,120.49,7.46,899.25,5.36
trigo,47.43,10.72,508.44,4.73
abacaxi,8.08,5.66,45.76,2.68
abacaxi,33.78,9.69,327.22,4.77
abacaxi,2.36,21.37,50.51,11.43
feijão,71.05,14.75,1048.12,11.98
melancia,178.01,22.41,3989.54,9.32
melancia,132.57,19.47,2581.36,11.06
trigo,81.31,15.11,1228.7,7.88
abobrinha,147.32,12.31,1813.67,10.11
abacaxi,172.22,20.0,3443.98,7.78
milho,104.61,6.56,686.69,3.7
morango,70.08,24.69,1730.14,17.93
morango,161.3,11.25,1814.32,7.49
milho,199.75,8.03,1603.11,4.81
milho,111.74,16.51,1844.76,12.91
arroz,95.73,24.91,2384.23,8.2
abacaxi,108.92,22.06,2402.3,8.53
feijão,62.02,20.78,1288.53,13.93
milho,24.04,18.4,442.49,11.31
feijão,4.69,6.39,29.93,3.17
abacaxi,42.84,7.38,315.97,4.49
morango,135.52,11.48,1555.16,3.08
feijão,30.22,24.47,739.59,18.07
pimentão,49.98,9.44,471.95,6.77
batata,174.55,15.53,2710.98,2.22
soja,132.7,7.72,1024.0,5.02
cenoura,10.53,8.22,86.64,7.47
melão,167.81,17.21,2887.73,5.58
arroz,121.57,18.11,2201.6,16.78
abacaxi,118.1,17.39,2053.67,11.79
arroz,25.3,22.61,572.11,7.94
arroz,144.94,5.33,773.19,4.6
alface,161.08,15.79,2542.66,7.75
soja,55.98,7.22,404.19,3.39
alface,64.55,12.03,776.83,10.62
feijão,11.16,12.6,140.62,5.19
milho,79.7,14.95,1191.45,5.07
cenoura,10.7,11.59,124.01,9.78
trigo,31.74,11.17,354.43,9.7
alface,109.86,10.79,1185.26,8.14
arroz,89.0,20.83,1853.76,9.98
trigo,24.91,10.83,269.82,8.62
abacaxi,64.8,14.7,952.51,12.05
batata,3.11,12.21,38.02,7.34
morango,167.89,10.02,1681.66,2.3
abobrinha,2.0,10.49,21.0,8.74
melancia,138.51,6.68,925.27,5.71
feijão,50.19,8.38,420.83,3.39
arroz,154.95,11.16,1729.89,7.99
soja,156.63,18.06,2829.47,9.47
abacaxi,179.14,15.65,2804.24,3.02
melancia,163.36,16.2,2646.64,5.46
trigo,178.41,20.19,3602.56,2.58
feijão,166.85,17.24,2875.87,13.26
melancia,155.22,6.88,1067.53,5.95
soja,18.09,6.83,123.57,2.24
arroz,89.19,20.31,1811.85,2.06
arroz,134.06,13.31,1784.59,5.54
morango,146.78,16.63,2441.46,11.4
arroz,75.82,12.72,964.72,2.03
trigo,105.57,14.2,1498.67,12.15
alface,6.83,16.64,113.65,5.32
melão,79.13,17.66,1397.58,4.38
batata,33.35,6.92,230.67,3.3
trigo,47.5,20.51,974.34,16.14
melão,184.24,20.68,3810.32,5.79
melão,123.57,15.22,1881.29,8.92
tomate,40.88,15.88,649.15,7.8
trigo,174.6,7.95,1387.95,4.98
feijão,16.71,12.48,208.5,6.72
cenoura,91.14,21.01,1914.47,4.84
batata,104.86,22.32,2340.84,15.42
melão,155.98,11.71,1826.95,6.34
melão,90.7,24.37,2210.64,4.56
pimentão,73.97,22.24,1645.22,8.36
melão,89.58,23.38,2094.49,10.14
tomate,153.42,17.46,2678.69,6.51
arroz,2.19,9.55,20.88,6.57
melão,20.86,16.01,334.03,4.44
tomate,74.32,11.98,890.11,8.88
milho,153.86,5.53,850.09,4.09
pimentão,118.44,9.67,1145.22,5.39
alface,184.27,10.58,1949.49,4.86
tomate,199.3,24.56,4895.68,10.09
batata,114.39,18.7,2139.43,5.7
tomate,98.77,15.28,1509.56,4.69
milho,120.37,18.39,2214.1,13.91
abacaxi,46.36,8.46,392.03,3.62
batata,49.99,8.74,436.7,5.75
soja,171.22,21.03,3600.15,13.94
batata,71.65,17.38,1245.54,4.54
abobrinha,56.83,19.99,1135.79,11.87
melão,153.13,16.02,2452.5,11.57
trigo,128.63,5.54,712.1,4.07
milho,195.85,22.46,4397.95,7.84
arroz,3.94,19.8,77.93,7.99
milho,154.27,19.35,2985.66,3.07
morango,80.46,13.46,1083.41,7.58
morango,152.89,16.28,2489.03,11.27
abacaxi,133.86,20.88,2794.72,6.06
trigo,138.15,20.78,2870.62,17.89
trigo,72.01,7.61,547.64,3.03
alface,164.81,14.97,2467.58,7.04
soja,156.4,14.17,2216.22,10.62
abobrinha,78.24,5.15,403.13,3.62
pimentão,125.14,17.75,2221.87,2.24
melancia,108.44,19.7,2136.03,15.81
abobrinha,118.34,8.96,1060.01,7.08
cenoura,165.45,10.17,1682.86,8.39
soja,186.82,15.52,2899.15,7.31
arroz,90.75,18.22,1653.19,9.36
trigo,56.01,21.84,1223.2,15.89
tomate,41.93,17.72,743.01,10.63
melancia,157.33,8.54,1343.08,4.68
morango,136.31,16.85,2296.65,9.66
alface,116.8,15.94,1861.72,3.65
feijão,85.74,21.66,1856.7,11.27
tomate,77.54,16.48,1277.78,14.67
pimentão,90.3,18.06,1630.33,11.44
melão,166.87,21.19,3536.11,2.51
abobrinha,182.48,11.45,2089.05,10.09
arroz,35.44,23.24,823.6,7.66
milho,54.07,19.73,1067.07,10.13
arroz,17.95,9.28,166.6,7.67
abobrinha,91.6,17.24,1578.91,13.69
soja,119.46,11.73,1401.55,7.97
pimentão,103.4,8.6,889.17,7.61
feijão,44.53,10.05,447.58,2.85
trigo,73.25,11.97,876.87,4.48
melancia,178.09,6.12,1090.45,2.88
arroz,136.36,12.02,1639.37,9.43
soja,91.22,13.74,1253.21,4.83
milho,85.61,8.71,745.38,2.9
pimentão,19.17,24.95,478.31,13.86
arroz,38.88,14.07,546.98,7.12
abacaxi,39.12,20.5,802.2,8.31
soja,125.41,5.91,741.52,2.95
cenoura,82.14,20.96,1721.38,16.05
melancia,51.06,22.44,1145.67,18.24
batata,4.48,6.72,30.12,2.72
arroz,104.36,21.39,2232.25,6.91
trigo,70.17,18.21,1277.91,16.28
pimentão,37.5,15.09,566.0,3.53
feijão,179.86,10.7,1924.99,9.58
feijão,77.73,12.03,935.49,10.76
abacaxi,148.63,7.38,1096.49,2.37
morango,130.97,11.01,1441.61,7.85
melancia,154.94,17.53,2715.76,6.8
arroz,75.13,16.87,1267.46,2.79
pimentão,3.07,24.52,75.37,14.82
melancia,169.58,5.54,939.75,2.17
